-13,11,95
-13,11,95
-12,10,97
-12,10,97
-12,10,97
-14,10,95
-14,10,95
-14,10,95
-14,10,95
-14,14,98
-14,14,98
-14,14,98
-14,14,98
-13,9,97
-13,9,97
-13,9,97
-13,9,97
-12,11,95
-12,11,95
-12,11,95
-12,11,95
-13,12,100
-13,12,100
-13,12,100
-12,9,97
-12,9,97
-12,9,97
-12,9,97
-14,11,98
-14,11,98
-14,11,98
-14,11,98
-13,11,100
-13,11,100
-13,11,100
-13,11,100
-14,11,100
-14,11,100
-14,11,100
-13,10,97
-13,10,97
-13,10,97
-13,10,97
-13,11,95
-13,11,95
-13,11,95
-13,11,95
-13,12,95
-13,12,95
-13,12,95
-13,12,95
-14,11,99
-14,11,99
-14,11,99
-14,11,99
-13,10,94
-13,10,94
-13,10,94
-13,10,93
-13,10,93
-13,10,93
-13,10,93
-14,11,96
-14,11,96
-14,11,96
-14,11,96
-13,13,95
-13,13,95
-13,13,95
-13,13,95
-15,13,98
-15,13,98
-15,13,98
-12,14,93
-12,14,93
-12,14,93
-12,14,93
-11,10,102
-11,10,102
-11,10,102
-11,10,102
-15,12,97
-15,12,97
-15,12,97
-15,12,97
-11,11,97
-11,11,97
-11,11,97
-14,11,96
-14,11,96
-14,11,96
-14,11,96
-13,10,92
-13,10,92
-13,10,92
-13,10,92
-12,11,97
-12,11,97
-12,11,97
-12,11,97
-13,10,96
-13,10,96
-13,10,96
-13,10,96
-13,10,97
-13,10,97
-13,10,97
-10,9,97
-10,9,97
-10,9,97
-10,9,97
-13,11,96
-13,11,96
-13,11,96
-13,11,96
-13,11,99
-13,11,99
-13,11,99
-13,11,99
-12,11,100
-12,11,100
-12,11,100
-13,11,99
-13,11,99
-13,11,99
-13,11,99
-13,11,96
-13,11,96
-13,11,96
-13,11,96
-13,13,93
-13,13,93
-13,13,93
-13,13,93
-12,11,98
-12,11,98
-12,11,98
-12,11,98
-15,11,93
-15,11,93
-15,11,93
-11,13,97
-11,13,97
-11,13,97
-11,13,97
-14,10,98
-14,10,98
-14,10,98
-14,10,98
-11,12,98
-11,12,98
-11,12,98
-11,12,98
-13,9,100
-13,9,100
-13,9,100
-14,10,97
-14,10,97
-14,10,97
-14,10,97
-15,9,98
-15,9,98
-15,9,98
-15,9,98
-14,11,98
-14,11,98
-14,11,98
-14,11,98
-12,12,93
-12,12,93
-12,12,93
-12,12,93
-13,13,98
-13,13,98
-13,13,98
-12,10,95
-12,10,95
-12,10,95
-12,10,95
-14,11,93
-14,11,93
-14,11,93
-14,11,93
-12,12,97
-12,12,97
-12,12,97
-12,12,97
-12,14,96
-12,14,96
-12,14,96
-12,14,96
